target_date,location,count
2025-04-13,AK,0
2025-04-14,AK,0
2025-04-15,AK,0
2025-04-16,AK,0
2025-04-17,AK,0
2025-04-18,AK,0
2025-04-19,AK,0
2025-04-20,AK,0
2025-04-21,AK,0
2025-04-22,AK,0
2025-04-23,AK,0
2025-04-24,AK,0
2025-04-25,AK,0
2025-04-26,AK,0
2025-04-27,AK,0
2025-04-28,AK,0
2025-04-29,AK,0
2025-04-30,AK,0
2025-05-01,AK,0
2025-05-02,AK,0
2025-05-03,AK,0
2025-05-04,AK,0
2025-05-05,AK,0
2025-05-06,AK,0
2025-05-07,AK,0
2025-05-08,AK,0
2025-05-09,AK,0
2025-05-10,AK,0
2025-05-11,AK,0
2025-05-12,AK,0
2025-05-13,AK,0
2025-05-14,AK,0
2025-04-13,AL,0
2025-04-14,AL,0
2025-04-15,AL,0
2025-04-16,AL,0
2025-04-17,AL,0
2025-04-18,AL,0
2025-04-19,AL,0
2025-04-20,AL,0
2025-04-21,AL,0
2025-04-22,AL,0
2025-04-23,AL,0
2025-04-24,AL,0
2025-04-25,AL,0
2025-04-26,AL,0
2025-04-27,AL,0
2025-04-28,AL,0
2025-04-29,AL,0
2025-04-30,AL,0
2025-05-01,AL,0
2025-05-02,AL,0
2025-05-03,AL,0
2025-05-04,AL,0
2025-05-05,AL,0
2025-05-06,AL,0
2025-05-07,AL,0
2025-05-08,AL,0
2025-05-09,AL,0
2025-05-10,AL,0
2025-05-11,AL,0
2025-05-12,AL,0
2025-05-13,AL,0
2025-05-14,AL,0
2025-04-13,AR,0
2025-04-14,AR,0
2025-04-15,AR,0
2025-04-16,AR,0
2025-04-17,AR,0
2025-04-18,AR,0
2025-04-19,AR,0
2025-04-20,AR,0
2025-04-21,AR,0
2025-04-22,AR,0
2025-04-23,AR,0
2025-04-24,AR,0
2025-04-25,AR,0
2025-04-26,AR,0
2025-04-27,AR,0
2025-04-28,AR,0
2025-04-29,AR,0
2025-04-30,AR,0
2025-05-01,AR,0
2025-05-02,AR,0
2025-05-03,AR,0
2025-05-04,AR,0
2025-05-05,AR,0
2025-05-06,AR,0
2025-05-07,AR,0
2025-05-08,AR,0
2025-05-09,AR,0
2025-05-10,AR,0
2025-05-11,AR,0
2025-05-12,AR,0
2025-05-13,AR,0
2025-05-14,AR,0
2025-04-13,AZ,1
2025-04-14,AZ,2
2025-04-15,AZ,1
2025-04-16,AZ,0
2025-04-17,AZ,0
2025-04-18,AZ,0
2025-04-19,AZ,0
2025-04-20,AZ,0
2025-04-21,AZ,0
2025-04-22,AZ,1
2025-04-23,AZ,0
2025-04-24,AZ,0
2025-04-25,AZ,0
2025-04-26,AZ,0
2025-04-27,AZ,0
2025-04-28,AZ,0
2025-04-29,AZ,0
2025-04-30,AZ,0
2025-05-01,AZ,0
2025-05-02,AZ,0
2025-05-03,AZ,0
2025-05-04,AZ,0
2025-05-05,AZ,0
2025-05-06,AZ,0
2025-05-07,AZ,0
2025-05-08,AZ,0
2025-05-09,AZ,0
2025-05-10,AZ,0
2025-05-11,AZ,0
2025-05-12,AZ,0
2025-05-13,AZ,0
2025-05-14,AZ,0
2025-04-13,CA,0
2025-04-14,CA,0
2025-04-15,CA,1
2025-04-16,CA,1
2025-04-17,CA,0
2025-04-18,CA,0
2025-04-19,CA,0
2025-04-20,CA,1
2025-04-21,CA,0
2025-04-22,CA,0
2025-04-23,CA,0
2025-04-24,CA,0
2025-04-25,CA,0
2025-04-26,CA,0
2025-04-27,CA,0
2025-04-28,CA,0
2025-04-29,CA,0
2025-04-30,CA,0
2025-05-01,CA,0
2025-05-02,CA,0
2025-05-03,CA,0
2025-05-04,CA,0
2025-05-05,CA,0
2025-05-06,CA,0
2025-05-07,CA,0
2025-05-08,CA,0
2025-05-09,CA,0
2025-05-10,CA,0
2025-05-11,CA,0
2025-05-12,CA,0
2025-05-13,CA,0
2025-05-14,CA,0
2025-04-13,CO,3
2025-04-14,CO,1
2025-04-15,CO,0
2025-04-16,CO,0
2025-04-17,CO,0
2025-04-18,CO,0
2025-04-19,CO,0
2025-04-20,CO,0
2025-04-21,CO,0
2025-04-22,CO,0
2025-04-23,CO,0
2025-04-24,CO,0
2025-04-25,CO,0
2025-04-26,CO,0
2025-04-27,CO,0
2025-04-28,CO,0
2025-04-29,CO,0
2025-04-30,CO,0
2025-05-01,CO,0
2025-05-02,CO,0
2025-05-03,CO,0
2025-05-04,CO,0
2025-05-05,CO,0
2025-05-06,CO,0
2025-05-07,CO,0
2025-05-08,CO,0
2025-05-09,CO,0
2025-05-10,CO,0
2025-05-11,CO,0
2025-05-12,CO,0
2025-05-13,CO,0
2025-05-14,CO,0
2025-04-13,CT,0
2025-04-14,CT,0
2025-04-15,CT,0
2025-04-16,CT,0
2025-04-17,CT,0
2025-04-18,CT,0
2025-04-19,CT,0
2025-04-20,CT,0
2025-04-21,CT,0
2025-04-22,CT,0
2025-04-23,CT,0
2025-04-24,CT,0
2025-04-25,CT,0
2025-04-26,CT,0
2025-04-27,CT,0
2025-04-28,CT,0
2025-04-29,CT,0
2025-04-30,CT,0
2025-05-01,CT,0
2025-05-02,CT,0
2025-05-03,CT,0
2025-05-04,CT,0
2025-05-05,CT,0
2025-05-06,CT,0
2025-05-07,CT,0
2025-05-08,CT,0
2025-05-09,CT,0
2025-05-10,CT,0
2025-05-11,CT,0
2025-05-12,CT,0
2025-05-13,CT,0
2025-05-14,CT,0
2025-04-13,DC,0
2025-04-14,DC,0
2025-04-15,DC,0
2025-04-16,DC,0
2025-04-17,DC,0
2025-04-18,DC,0
2025-04-19,DC,0
2025-04-20,DC,0
2025-04-21,DC,0
2025-04-22,DC,0
2025-04-23,DC,0
2025-04-24,DC,0
2025-04-25,DC,0
2025-04-26,DC,0
2025-04-27,DC,0
2025-04-28,DC,0
2025-04-29,DC,0
2025-04-30,DC,0
2025-05-01,DC,0
2025-05-02,DC,0
2025-05-03,DC,0
2025-05-04,DC,0
2025-05-05,DC,0
2025-05-06,DC,0
2025-05-07,DC,0
2025-05-08,DC,0
2025-05-09,DC,0
2025-05-10,DC,0
2025-05-11,DC,0
2025-05-12,DC,0
2025-05-13,DC,0
2025-05-14,DC,0
2025-04-13,DE,0
2025-04-14,DE,0
2025-04-15,DE,0
2025-04-16,DE,0
2025-04-17,DE,0
2025-04-18,DE,0
2025-04-19,DE,0
2025-04-20,DE,0
2025-04-21,DE,0
2025-04-22,DE,0
2025-04-23,DE,0
2025-04-24,DE,0
2025-04-25,DE,0
2025-04-26,DE,0
2025-04-27,DE,0
2025-04-28,DE,0
2025-04-29,DE,0
2025-04-30,DE,0
2025-05-01,DE,0
2025-05-02,DE,0
2025-05-03,DE,0
2025-05-04,DE,0
2025-05-05,DE,0
2025-05-06,DE,0
2025-05-07,DE,0
2025-05-08,DE,0
2025-05-09,DE,0
2025-05-10,DE,0
2025-05-11,DE,0
2025-05-12,DE,0
