target_date,location,count
2025-09-07,AK,0
2025-09-08,AK,0
2025-09-09,AK,0
2025-09-10,AK,0
2025-09-11,AK,0
2025-09-12,AK,0
2025-09-13,AK,0
2025-09-14,AK,0
2025-09-15,AK,0
2025-09-16,AK,0
2025-09-17,AK,0
2025-09-18,AK,0
2025-09-19,AK,0
2025-09-20,AK,0
2025-09-21,AK,0
2025-09-22,AK,0
2025-09-23,AK,0
2025-09-24,AK,0
2025-09-25,AK,0
2025-09-26,AK,0
2025-09-27,AK,0
2025-09-28,AK,0
2025-09-29,AK,0
2025-09-30,AK,0
2025-10-01,AK,0
2025-10-02,AK,0
2025-10-03,AK,0
2025-10-04,AK,0
2025-10-05,AK,0
2025-10-06,AK,0
2025-10-07,AK,0
2025-10-08,AK,0
2025-09-07,AL,0
2025-09-08,AL,0
2025-09-09,AL,0
2025-09-10,AL,0
2025-09-11,AL,0
2025-09-12,AL,0
2025-09-13,AL,0
2025-09-14,AL,0
2025-09-15,AL,0
2025-09-16,AL,0
2025-09-17,AL,0
2025-09-18,AL,0
2025-09-19,AL,0
2025-09-20,AL,0
2025-09-21,AL,0
2025-09-22,AL,0
2025-09-23,AL,0
2025-09-24,AL,0
2025-09-25,AL,0
2025-09-26,AL,0
2025-09-27,AL,0
2025-09-28,AL,0
2025-09-29,AL,0
2025-09-30,AL,0
2025-10-01,AL,0
2025-10-02,AL,0
2025-10-03,AL,0
2025-10-04,AL,0
2025-10-05,AL,0
2025-10-06,AL,0
2025-10-07,AL,0
2025-10-08,AL,0
2025-09-07,AR,0
2025-09-08,AR,0
2025-09-09,AR,0
2025-09-10,AR,0
2025-09-11,AR,0
2025-09-12,AR,0
2025-09-13,AR,0
2025-09-14,AR,0
2025-09-15,AR,0
2025-09-16,AR,0
2025-09-17,AR,0
2025-09-18,AR,0
2025-09-19,AR,0
2025-09-20,AR,0
2025-09-21,AR,0
2025-09-22,AR,0
2025-09-23,AR,0
2025-09-24,AR,0
2025-09-25,AR,0
2025-09-26,AR,0
2025-09-27,AR,0
2025-09-28,AR,0
2025-09-29,AR,0
2025-09-30,AR,0
2025-10-01,AR,0
2025-10-02,AR,0
2025-10-03,AR,0
2025-10-04,AR,0
2025-10-05,AR,0
2025-10-06,AR,0
2025-10-07,AR,0
2025-10-08,AR,0
2025-09-07,AZ,5
2025-09-08,AZ,6
2025-09-09,AZ,1
2025-09-10,AZ,0
