target_date,location,count
2024-09-22,AK,0
2024-09-23,AK,0
2024-09-24,AK,0
2024-09-25,AK,0
2024-09-26,AK,0
2024-09-27,AK,0
2024-09-28,AK,0
2024-09-29,AK,0
2024-09-30,AK,0
2024-10-01,AK,0
2024-10-02,AK,0
2024-10-03,AK,0
2024-10-04,AK,0
2024-10-05,AK,0
2024-10-06,AK,0
2024-10-07,AK,0
2024-10-08,AK,0
2024-10-09,AK,0
2024-10-10,AK,0
2024-10-11,AK,0
2024-10-12,AK,0
2024-10-13,AK,0
2024-10-14,AK,0
2024-10-15,AK,0
2024-10-16,AK,0
2024-10-17,AK,0
2024-10-18,AK,0
2024-10-19,AK,0
2024-10-20,AK,0
2024-10-21,AK,0
2024-10-22,AK,0
2024-10-23,AK,0
2024-09-22,AL,0
2024-09-23,AL,0
2024-09-24,AL,0
2024-09-25,AL,0
2024-09-26,AL,0
2024-09-27,AL,0
2024-09-28,AL,0
2024-09-29,AL,0
2024-09-30,AL,0
2024-10-01,AL,0
2024-10-02,AL,0
2024-10-03,AL,0
2024-10-04,AL,0
2024-10-05,AL,0
2024-10-06,AL,0
2024-10-07,AL,0
2024-10-08,AL,0
2024-10-09,AL,0
2024-10-10,AL,0
2024-10-11,AL,0
2024-10-12,AL,0
2024-10-13,AL,0
2024-10-14,AL,0
2024-10-15,AL,0
2024-10-16,AL,0
2024-10-17,AL,0
2024-10-18,AL,0
2024-10-19,AL,0
2024-10-20,AL,0
2024-10-21,AL,0
2024-10-22,AL,0
2024-10-23,AL,0
2024-09-22,AR,0
2024-09-23,AR,0
2024-09-24,AR,0
2024-09-25,AR,0
2024-09-26,AR,1
2024-09-27,AR,0
2024-09-28,AR,0
2024-09-29,AR,0
2024-09-30,AR,0
2024-10-01,AR,0
2024-10-02,AR,0
2024-10-03,AR,0
2024-10-04,AR,0
2024-10-05,AR,0
2024-10-06,AR,0
2024-10-07,AR,0
2024-10-08,AR,0
2024-10-09,AR,0
2024-10-10,AR,0
2024-10-11,AR,0
2024-10-12,AR,0
2024-10-13,AR,0
2024-10-14,AR,0
2024-10-15,AR,0
2024-10-16,AR,0
2024-10-17,AR,0
2024-10-18,AR,0
2024-10-19,AR,0
2024-10-20,AR,0
2024-10-21,AR,0
2024-10-22,AR,0
2024-10-23,AR,0
2024-09-22,AZ,8
2024-09-23,AZ,20
2024-09-24,AZ,16
2024-09-25,AZ,10
2024-09-26,AZ,1
2024-09-27,AZ,0
2024-09-28,AZ,2
2024-09-29,AZ,1
2024-09-30,AZ,2
2024-10-01,AZ,1
2024-10-02,AZ,1
2024-10-03,AZ,0
2024-10-04,AZ,1
2024-10-05,AZ,2
2024-10-06,AZ,2
2024-10-07,AZ,0
2024-10-08,AZ,0
2024-10-09,AZ,0
2024-10-10,AZ,0
2024-10-11,AZ,0
2024-10-12,AZ,0
2024-10-13,AZ,0
2024-10-14,AZ,0
2024-10-15,AZ,0
2024-10-16,AZ,0
2024-10-17,AZ,0
2024-10-18,AZ,0
2024-10-19,AZ,0
2024-10-20,AZ,0
2024-10-21,AZ,0
2024-10-22,AZ,0
2024-10-23,AZ,0
2024-09-22,CA,13
2024-09-23,CA,30
2024-09-24,CA,8
2024-09-25,CA,15
2024-09-26,CA,15
2024-09-27,CA,7
2024-09-28,CA,1
2024-09-29,CA,12
2024-09-30,CA,16
2024-10-01,CA,12
2024-10-02,CA,5
2024-10-03,CA,2
2024-10-04,CA,0
2024-10-05,CA,2
2024-10-06,CA,1
2024-10-07,CA,0
2024-10-08,CA,1
2024-10-09,CA,1
2024-10-10,CA,1
2024-10-11,CA,0
2024-10-12,CA,0
2024-10-13,CA,0
2024-10-14,CA,0
2024-10-15,CA,0
2024-10-16,CA,0
2024-10-17,CA,0
2024-10-18,CA,0
2024-10-19,CA,0
2024-10-20,CA,0
2024-10-21,CA,0
2024-10-22,CA,0
2024-10-23,CA,0
2024-09-22,CO,0
2024-09-23,CO,0
2024-09-24,CO,0
2024-09-25,CO,0
2024-09-26,CO,0
2024-09-27,CO,0
2024-09-28,CO,0
2024-09-29,CO,0
2024-09-30,CO,0
2024-10-01,CO,0
2024-10-02,CO,0
2024-10-03,CO,0
2024-10-04,CO,0
2024-10-05,CO,0
2024-10-06,CO,0
2024-10-07,CO,0
2024-10-08,CO,0
2024-10-09,CO,0
2024-10-10,CO,0
2024-10-11,CO,0
2024-10-12,CO,0
2024-10-13,CO,0
2024-10-14,CO,0
2024-10-15,CO,0
2024-10-16,CO,0
2024-10-17,CO,0
2024-10-18,CO,0
2024-10-19,CO,0
2024-10-20,CO,0
2024-10-21,CO,0
2024-10-22,CO,0
2024-10-23,CO,0
2024-09-22,CT,0
2024-09-23,CT,0
2024-09-24,CT,0
2024-09-25,CT,0
2024-09-26,CT,0
2024-09-27,CT,0
2024-09-28,CT,0
2024-09-29,CT,0
2024-09-30,CT,0
2024-10-01,CT,0
2024-10-02,CT,0
2024-10-03,CT,0
2024-10-04,CT,1
2024-10-05,CT,0
2024-10-06,CT,0
2024-10-07,CT,0
2024-10-08,CT,0
2024-10-09,CT,0
2024-10-10,CT,0
2024-10-11,CT,0
2024-10-12,CT,0
2024-10-13,CT,0
2024-10-14,CT,0
2024-10-15,CT,0
2024-10-16,CT,0
2024-10-17,CT,0
2024-10-18,CT,0
2024-10-19,CT,0
2024-10-20,CT,0
2024-10-21,CT,0
2024-10-22,CT,0
2024-10-23,CT,0
2024-09-22,DC,0
2024-09-23,DC,0
2024-09-24,DC,0
2024-09-25,DC,0
2024-09-26,DC,0
2024-09-27,DC,0
2024-09-28,DC,0
2024-09-29,DC,0
2024-09-30,DC,0
2024-10-01,DC,0
2024-10-02,DC,0
2024-10-03,DC,0
2024-10-04,DC,0
2024-10-05,DC,0
2024-10-06,DC,0
2024-10-07,DC,0
2024-10-08,DC,0
2024-10-09,DC,0
2024-10-10,DC,0
2024-10-11,DC,0
2024-10-12,DC,0
2024-10-13,DC,0
2024-10-14,DC,0
2024-10-15,DC,0
2024-10-16,DC,0
2024-10-17,DC,0
2024-10-18,DC,0
2024-10-19,DC,0
2024-10-20,DC,0
2024-10-21,DC,0
2024-10-22,DC,0
2024-10-23,DC,0
2024-09-22,DE,0
2024-09-23,DE,0
2024-09-24,DE,0
2024-09-25,DE,0
2024-09-26,DE,0
2024-09-27,DE,0
2024-09-28,DE,0
2024-09-29,DE,4
2024-09-30,DE,6
2024-10-01,DE,6
2024-10-02,DE,10
2024-10-03,DE,5
2024-10-04,DE,1
2024-10-05,DE,0
2024-10-06,DE,0
2024-10-07,DE,0
2024-10-08,DE,0
2024-10-09,DE,0
2024-10-10,DE,0
2024-10-11,DE,0
2024-10-12,DE,0
2024-10-13,DE,0
2024-10-14,DE,0
2024-10-15,DE,0
2024-10-16,DE,0
2024-10-17,DE,0
2024-10-18,DE,0
2024-10-19,DE,0
2024-10-20,DE,0
2024-10-21,DE,0
2024-10-22,DE,0
2024-10-23,DE,0
2024-09-22,FL,2
2024-09-23,FL,0
2024-09-24,FL,0
2024-09-25,FL,5
2024-09-26,FL,0
2024-09-27,FL,2
2024-09-28,FL,2
2024-09-29,FL,0
2024-09-30,FL,3
2024-10-01,FL,1
2024-10-02,FL,2
2024-10-03,FL,0
2024-10-04,FL,0
2024-10-05,FL,0
2024-10-06,FL,0
2024-10-07,FL,0
2024-10-08,FL,0
2024-10-09,FL,0
2024-10-10,FL,0
2024-10-11,FL,0
2024-10-12,FL,0
2024-10-13,FL,0
2024-10-14,FL,0
2024-10-15,FL,0
2024-10-16,FL,0
