target_date,location,count
2025-02-23,AK,0
2025-02-24,AK,0
2025-02-25,AK,0
2025-02-26,AK,0
2025-02-27,AK,0
2025-02-28,AK,0
2025-03-01,AK,0
2025-03-02,AK,0
2025-03-03,AK,0
2025-03-04,AK,0
2025-03-05,AK,0
2025-03-06,AK,0
2025-03-07,AK,0
2025-03-08,AK,0
2025-03-09,AK,0
2025-03-10,AK,0
2025-03-11,AK,0
2025-03-12,AK,0
2025-03-13,AK,0
2025-03-14,AK,0
2025-03-15,AK,0
2025-03-16,AK,0
2025-03-17,AK,0
2025-03-18,AK,0
2025-03-19,AK,0
2025-03-20,AK,0
2025-03-21,AK,0
2025-03-22,AK,0
2025-03-23,AK,0
2025-03-24,AK,0
2025-03-25,AK,0
2025-03-26,AK,0
2025-02-23,AL,1
2025-02-24,AL,2
2025-02-25,AL,0
2025-02-26,AL,1
2025-02-27,AL,1
2025-02-28,AL,0
2025-03-01,AL,0
2025-03-02,AL,0
2025-03-03,AL,0
2025-03-04,AL,1
2025-03-05,AL,0
2025-03-06,AL,0
2025-03-07,AL,0
2025-03-08,AL,0
2025-03-09,AL,0
2025-03-10,AL,1
2025-03-11,AL,0
2025-03-12,AL,2
2025-03-13,AL,1
2025-03-14,AL,1
2025-03-15,AL,0
2025-03-16,AL,0
2025-03-17,AL,0
2025-03-18,AL,0
2025-03-19,AL,0
2025-03-20,AL,0
2025-03-21,AL,0
2025-03-22,AL,0
2025-03-23,AL,0
2025-03-24,AL,0
2025-03-25,AL,0
2025-03-26,AL,0
2025-02-23,AR,0
2025-02-24,AR,1
2025-02-25,AR,0
2025-02-26,AR,0
2025-02-27,AR,0
2025-02-28,AR,0
2025-03-01,AR,0
2025-03-02,AR,0
2025-03-03,AR,1
2025-03-04,AR,0
2025-03-05,AR,0
2025-03-06,AR,0
2025-03-07,AR,0
2025-03-08,AR,0
2025-03-09,AR,0
2025-03-10,AR,0
2025-03-11,AR,0
2025-03-12,AR,1
2025-03-13,AR,0
2025-03-14,AR,0
2025-03-15,AR,0
2025-03-16,AR,0
2025-03-17,AR,0
2025-03-18,AR,0
2025-03-19,AR,0
2025-03-20,AR,0
2025-03-21,AR,0
2025-03-22,AR,0
2025-03-23,AR,0
2025-03-24,AR,0
2025-03-25,AR,0
2025-03-26,AR,0
2025-02-23,AZ,1
2025-02-24,AZ,4
2025-02-25,AZ,7
2025-02-26,AZ,2
2025-02-27,AZ,3
2025-02-28,AZ,0
2025-03-01,AZ,1
2025-03-02,AZ,3
2025-03-03,AZ,4
2025-03-04,AZ,0
2025-03-05,AZ,0
2025-03-06,AZ,0
2025-03-07,AZ,3
2025-03-08,AZ,1
2025-03-09,AZ,1
2025-03-10,AZ,2
2025-03-11,AZ,1
2025-03-12,AZ,3
2025-03-13,AZ,1
2025-03-14,AZ,1
2025-03-15,AZ,0
2025-03-16,AZ,0
2025-03-17,AZ,0
2025-03-18,AZ,0
2025-03-19,AZ,0
2025-03-20,AZ,0
2025-03-21,AZ,0
2025-03-22,AZ,0
2025-03-23,AZ,0
2025-03-24,AZ,0
2025-03-25,AZ,0
2025-03-26,AZ,0
2025-02-23,CA,0
2025-02-24,CA,1
2025-02-25,CA,0
2025-02-26,CA,2
2025-02-27,CA,0
2025-02-28,CA,1
2025-03-01,CA,1
2025-03-02,CA,0
2025-03-03,CA,2
2025-03-04,CA,0
2025-03-05,CA,0
2025-03-06,CA,0
2025-03-07,CA,0
