target_date,location,count
2025-01-12,AK,0
2025-01-13,AK,0
2025-01-14,AK,0
2025-01-15,AK,0
2025-01-16,AK,0
2025-01-17,AK,0
2025-01-18,AK,0
2025-01-19,AK,0
2025-01-20,AK,0
2025-01-21,AK,0
2025-01-22,AK,0
2025-01-23,AK,0
2025-01-24,AK,0
2025-01-25,AK,0
2025-01-26,AK,0
2025-01-27,AK,0
2025-01-28,AK,0
2025-01-29,AK,0
2025-01-30,AK,0
2025-01-31,AK,0
2025-02-01,AK,0
2025-02-02,AK,0
2025-02-03,AK,0
2025-02-04,AK,0
2025-02-05,AK,0
2025-02-06,AK,0
2025-02-07,AK,0
2025-02-08,AK,0
2025-02-09,AK,0
2025-02-10,AK,0
2025-02-11,AK,0
2025-02-12,AK,0
2025-01-12,AL,0
2025-01-13,AL,0
2025-01-14,AL,0
2025-01-15,AL,0
2025-01-16,AL,0
2025-01-17,AL,0
2025-01-18,AL,0
2025-01-19,AL,0
2025-01-20,AL,0
2025-01-21,AL,0
2025-01-22,AL,0
2025-01-23,AL,0
2025-01-24,AL,0
2025-01-25,AL,0
2025-01-26,AL,0
2025-01-27,AL,0
2025-01-28,AL,0
2025-01-29,AL,0
2025-01-30,AL,0
2025-01-31,AL,0
2025-02-01,AL,0
2025-02-02,AL,0
2025-02-03,AL,0
2025-02-04,AL,0
2025-02-05,AL,0
2025-02-06,AL,0
2025-02-07,AL,0
2025-02-08,AL,0
2025-02-09,AL,0
2025-02-10,AL,0
2025-02-11,AL,0
2025-02-12,AL,0
2025-01-12,AR,0
2025-01-13,AR,0
2025-01-14,AR,0
2025-01-15,AR,0
2025-01-16,AR,0
2025-01-17,AR,0
2025-01-18,AR,0
2025-01-19,AR,0
2025-01-20,AR,0
2025-01-21,AR,0
2025-01-22,AR,0
2025-01-23,AR,0
2025-01-24,AR,0
2025-01-25,AR,0
2025-01-26,AR,0
2025-01-27,AR,0
2025-01-28,AR,0
2025-01-29,AR,0
2025-01-30,AR,0
2025-01-31,AR,0
2025-02-01,AR,0
2025-02-02,AR,0
2025-02-03,AR,0
2025-02-04,AR,0
2025-02-05,AR,0
2025-02-06,AR,0
2025-02-07,AR,0
2025-02-08,AR,0
2025-02-09,AR,0
2025-02-10,AR,0
2025-02-11,AR,0
2025-02-12,AR,0
2025-01-12,AZ,0
2025-01-13,AZ,2
2025-01-14,AZ,6
2025-01-15,AZ,3
2025-01-16,AZ,3
2025-01-17,AZ,2
2025-01-18,AZ,3
2025-01-19,AZ,1
2025-01-20,AZ,2
2025-01-21,AZ,0
2025-01-22,AZ,2
2025-01-23,AZ,4
2025-01-24,AZ,0
2025-01-25,AZ,0
2025-01-26,AZ,0
2025-01-27,AZ,0
2025-01-28,AZ,0
2025-01-29,AZ,0
2025-01-30,AZ,0
2025-01-31,AZ,0
2025-02-01,AZ,0
2025-02-02,AZ,0
2025-02-03,AZ,0
2025-02-04,AZ,0
2025-02-05,AZ,0
2025-02-06,AZ,0
2025-02-07,AZ,0
2025-02-08,AZ,0
2025-02-09,AZ,0
2025-02-10,AZ,0
2025-02-11,AZ,0
2025-02-12,AZ,0
2025-01-12,CA,0
2025-01-13,CA,8
2025-01-14,CA,1
2025-01-15,CA,4
2025-01-16,CA,0
2025-01-17,CA,1
2025-01-18,CA,0
2025-01-19,CA,0
2025-01-20,CA,0
2025-01-21,CA,0
2025-01-22,CA,0
2025-01-23,CA,2
2025-01-24,CA,0
2025-01-25,CA,0
2025-01-26,CA,0
2025-01-27,CA,0
2025-01-28,CA,0
2025-01-29,CA,0
2025-01-30,CA,0
2025-01-31,CA,0
2025-02-01,CA,0
2025-02-02,CA,0
2025-02-03,CA,0
2025-02-04,CA,0
2025-02-05,CA,0
2025-02-06,CA,0
2025-02-07,CA,0
2025-02-08,CA,0
2025-02-09,CA,0
2025-02-10,CA,0
2025-02-11,CA,0
2025-02-12,CA,0
2025-01-12,CO,0
2025-01-13,CO,0
2025-01-14,CO,0
2025-01-15,CO,0
2025-01-16,CO,0
2025-01-17,CO,0
2025-01-18,CO,0
2025-01-19,CO,0
2025-01-20,CO,0
2025-01-21,CO,0
2025-01-22,CO,0
2025-01-23,CO,0
2025-01-24,CO,0
2025-01-25,CO,0
2025-01-26,CO,0
2025-01-27,CO,0
2025-01-28,CO,0
2025-01-29,CO,0
2025-01-30,CO,0
2025-01-31,CO,0
2025-02-01,CO,0
2025-02-02,CO,0
2025-02-03,CO,0
2025-02-04,CO,0
2025-02-05,CO,0
2025-02-06,CO,0
2025-02-07,CO,0
2025-02-08,CO,0
2025-02-09,CO,0
2025-02-10,CO,0
2025-02-11,CO,0
2025-02-12,CO,0
2025-01-12,CT,0
2025-01-13,CT,0
2025-01-14,CT,0
2025-01-15,CT,1
2025-01-16,CT,0
2025-01-17,CT,0
2025-01-18,CT,0
2025-01-19,CT,0
2025-01-20,CT,0
2025-01-21,CT,0
2025-01-22,CT,0
2025-01-23,CT,0
2025-01-24,CT,0
2025-01-25,CT,0
2025-01-26,CT,0
2025-01-27,CT,0
2025-01-28,CT,0
2025-01-29,CT,0
2025-01-30,CT,0
2025-01-31,CT,0
2025-02-01,CT,0
2025-02-02,CT,0
2025-02-03,CT,0
2025-02-04,CT,0
2025-02-05,CT,0
2025-02-06,CT,0
2025-02-07,CT,0
2025-02-08,CT,0
2025-02-09,CT,0
2025-02-10,CT,0
2025-02-11,CT,0
2025-02-12,CT,0
2025-01-12,DC,0
2025-01-13,DC,1
2025-01-14,DC,2
2025-01-15,DC,1
2025-01-16,DC,1
2025-01-17,DC,0
2025-01-18,DC,0
2025-01-19,DC,0
2025-01-20,DC,0
2025-01-21,DC,1
2025-01-22,DC,0
2025-01-23,DC,0
2025-01-24,DC,0
2025-01-25,DC,0
2025-01-26,DC,0
2025-01-27,DC,0
2025-01-28,DC,0
2025-01-29,DC,0
2025-01-30,DC,0
2025-01-31,DC,0
2025-02-01,DC,0
2025-02-02,DC,0
2025-02-03,DC,0
2025-02-04,DC,0
2025-02-05,DC,0
2025-02-06,DC,0
2025-02-07,DC,0
2025-02-08,DC,0
2025-02-09,DC,0
2025-02-10,DC,0
2025-02-11,DC,0
2025-02-12,DC,0
2025-01-12,DE,6
2025-01-13,DE,5
2025-01-14,DE,4
2025-01-15,DE,2
2025-01-16,DE,0
2025-01-17,DE,1
2025-01-18,DE,4
2025-01-19,DE,6
2025-01-20,DE,6
2025-01-21,DE,10
2025-01-22,DE,4
2025-01-23,DE,3
2025-01-24,DE,4
2025-01-25,DE,1
2025-01-26,DE,1
2025-01-27,DE,1
2025-01-28,DE,0
2025-01-29,DE,0
2025-01-30,DE,0
2025-01-31,DE,0
2025-02-01,DE,0
2025-02-02,DE,0
2025-02-03,DE,0
2025-02-04,DE,0
2025-02-05,DE,0
2025-02-06,DE,0
2025-02-07,DE,0
2025-02-08,DE,0
2025-02-09,DE,0
2025-02-10,DE,0
2025-02-11,DE,0
2025-02-12,DE,0
2025-01-12,FL,0
2025-01-13,FL,2
2025-01-14,FL,1
2025-01-15,FL,2
2025-01-16,FL,1
2025-01-17,FL,3
2025-01-18,FL,0
2025-01-19,FL,0
2025-01-20,FL,0
2025-01-21,FL,1
2025-01-22,FL,0
2025-01-23,FL,2
2025-01-24,FL,0
2025-01-25,FL,0
2025-01-26,FL,0
2025-01-27,FL,0
2025-01-28,FL,0
2025-01-29,FL,0
2025-01-30,FL,0
2025-01-31,FL,0
2025-02-01,FL,0
2025-02-02,FL,0
2025-02-03,FL,0
2025-02-04,FL,0
2025-02-05,FL,0
2025-02-06,FL,0
2025-02-07,FL,0
2025-02-08,FL,0
2025-02-09,FL,0
2025-02-10,FL,0
2025-02-11,FL,0
2025-02-12,FL,0
2025-01-12,GA,0
2025-01-13,GA,0
2025-01-14,GA,0
2025-01-15,GA,0
2025-01-16,GA,0
2025-01-17,GA,0
2025-01-18,GA,1
2025-01-19,GA,0
2025-01-20,GA,0
2025-01-21,GA,0
2025-01-22,GA,0
2025-01-23,GA,0
2025-01-24,GA,0
2025-01-25,GA,0
2025-01-26,GA,0
2025-01-27,GA,0
2025-01-28,GA,0
2025-01-29,GA,0
2025-01-30,GA,0
2025-01-31,GA,0
2025-02-01,GA,0
2025-02-02,GA,0
2025-02-03,GA,0
2025-02-04,GA,0
2025-02-05,GA,0
2025-02-06,GA,0
2025-02-07,GA,0
2025-02-08,GA,0
2025-02-09,GA,0
2025-02-10,GA,0
2025-02-11,GA,0
2025-02-12,GA,0
2025-01-12,HI,0
2025-01-13,HI,0
2025-01-14,HI,0
2025-01-15,HI,0
2025-01-16,HI,0
2025-01-17,HI,0
