target_date,location,count
2024-09-15,Alabama,1
2024-09-16,Alabama,0
2024-09-17,Alabama,0
2024-09-18,Alabama,2
2024-09-19,Alabama,0
2024-09-20,Alabama,0
2024-09-21,Alabama,0
2024-09-22,Alabama,0
2024-09-23,Alabama,0
2024-09-24,Alabama,0
2024-09-25,Alabama,0
2024-09-26,Alabama,0
2024-09-27,Alabama,0
2024-09-28,Alabama,0
2024-09-29,Alabama,0
2024-09-30,Alabama,0
2024-10-01,Alabama,0
2024-10-02,Alabama,0
2024-10-03,Alabama,0
2024-10-04,Alabama,0
2024-10-05,Alabama,0
2024-10-06,Alabama,0
2024-10-07,Alabama,0
2024-10-08,Alabama,0
2024-10-09,Alabama,0
2024-10-10,Alabama,0
2024-10-11,Alabama,0
2024-10-12,Alabama,0
2024-10-13,Alabama,0
2024-10-14,Alabama,0
2024-10-15,Alabama,0
2024-10-16,Alabama,0
2024-09-15,Alaska,0
2024-09-16,Alaska,0
2024-09-17,Alaska,0
2024-09-18,Alaska,0
2024-09-19,Alaska,0
2024-09-20,Alaska,0
2024-09-21,Alaska,0
2024-09-22,Alaska,0
2024-09-23,Alaska,0
2024-09-24,Alaska,0
2024-09-25,Alaska,0
2024-09-26,Alaska,0
2024-09-27,Alaska,0
2024-09-28,Alaska,0
2024-09-29,Alaska,0
2024-09-30,Alaska,0
2024-10-01,Alaska,0
2024-10-02,Alaska,0
2024-10-03,Alaska,0
2024-10-04,Alaska,0
2024-10-05,Alaska,0
2024-10-06,Alaska,0
2024-10-07,Alaska,0
2024-10-08,Alaska,0
2024-10-09,Alaska,0
2024-10-10,Alaska,0
2024-10-11,Alaska,0
2024-10-12,Alaska,0
2024-10-13,Alaska,0
2024-10-14,Alaska,0
2024-10-15,Alaska,0
2024-10-16,Alaska,0
2024-09-15,Arizona,9
2024-09-16,Arizona,12
2024-09-17,Arizona,15
2024-09-18,Arizona,18
2024-09-19,Arizona,7
2024-09-20,Arizona,4
2024-09-21,Arizona,2
2024-09-22,Arizona,6
2024-09-23,Arizona,17
2024-09-24,Arizona,14
2024-09-25,Arizona,9
2024-09-26,Arizona,0
2024-09-27,Arizona,0
2024-09-28,Arizona,0
2024-09-29,Arizona,0
2024-09-30,Arizona,0
2024-10-01,Arizona,0
2024-10-02,Arizona,0
2024-10-03,Arizona,0
2024-10-04,Arizona,0
2024-10-05,Arizona,0
2024-10-06,Arizona,0
2024-10-07,Arizona,0
2024-10-08,Arizona,0
2024-10-09,Arizona,0
2024-10-10,Arizona,0
2024-10-11,Arizona,0
2024-10-12,Arizona,0
2024-10-13,Arizona,0
2024-10-14,Arizona,0
2024-10-15,Arizona,0
2024-10-16,Arizona,0
2024-09-15,Arkansas,0
2024-09-16,Arkansas,0
2024-09-17,Arkansas,1
2024-09-18,Arkansas,0
2024-09-19,Arkansas,0
2024-09-20,Arkansas,0
2024-09-21,Arkansas,0
2024-09-22,Arkansas,0
2024-09-23,Arkansas,0
2024-09-24,Arkansas,0
2024-09-25,Arkansas,0
