target_date,location,count
2024-12-08,AK,0
2024-12-09,AK,0
2024-12-10,AK,0
2024-12-11,AK,0
2024-12-12,AK,0
2024-12-13,AK,0
2024-12-14,AK,0
2024-12-15,AK,0
2024-12-16,AK,0
2024-12-17,AK,0
2024-12-18,AK,0
2024-12-19,AK,0
2024-12-20,AK,0
2024-12-21,AK,0
2024-12-22,AK,0
2024-12-23,AK,0
2024-12-24,AK,0
2024-12-25,AK,0
2024-12-26,AK,0
2024-12-27,AK,0
2024-12-28,AK,0
2024-12-29,AK,0
2024-12-30,AK,0
2024-12-31,AK,0
2025-01-01,AK,0
2025-01-02,AK,0
2025-01-03,AK,0
2025-01-04,AK,0
2025-01-05,AK,0
2025-01-06,AK,0
2025-01-07,AK,0
2025-01-08,AK,0
2024-12-08,AL,0
2024-12-09,AL,0
2024-12-10,AL,0
2024-12-11,AL,0
2024-12-12,AL,0
2024-12-13,AL,0
2024-12-14,AL,0
2024-12-15,AL,0
2024-12-16,AL,0
2024-12-17,AL,0
2024-12-18,AL,0
2024-12-19,AL,0
2024-12-20,AL,0
2024-12-21,AL,0
2024-12-22,AL,0
2024-12-23,AL,0
2024-12-24,AL,0
2024-12-25,AL,0
2024-12-26,AL,0
2024-12-27,AL,0
2024-12-28,AL,0
2024-12-29,AL,0
2024-12-30,AL,0
2024-12-31,AL,0
2025-01-01,AL,0
2025-01-02,AL,0
2025-01-03,AL,0
2025-01-04,AL,0
2025-01-05,AL,0
2025-01-06,AL,0
2025-01-07,AL,0
2025-01-08,AL,0
2024-12-08,AR,0
2024-12-09,AR,0
2024-12-10,AR,0
2024-12-11,AR,0
2024-12-12,AR,0
2024-12-13,AR,0
2024-12-14,AR,0
2024-12-15,AR,0
2024-12-16,AR,0
2024-12-17,AR,0
2024-12-18,AR,0
2024-12-19,AR,0
2024-12-20,AR,0
2024-12-21,AR,0
2024-12-22,AR,0
2024-12-23,AR,0
2024-12-24,AR,0
2024-12-25,AR,0
2024-12-26,AR,0
2024-12-27,AR,0
2024-12-28,AR,0
2024-12-29,AR,0
2024-12-30,AR,0
2024-12-31,AR,0
2025-01-01,AR,0
2025-01-02,AR,0
2025-01-03,AR,0
2025-01-04,AR,0
2025-01-05,AR,0
2025-01-06,AR,0
2025-01-07,AR,0
2025-01-08,AR,0
2024-12-08,AZ,3
2024-12-09,AZ,3
2024-12-10,AZ,8
2024-12-11,AZ,3
2024-12-12,AZ,1
2024-12-13,AZ,3
2024-12-14,AZ,3
2024-12-15,AZ,0
2024-12-16,AZ,0
2024-12-17,AZ,0
2024-12-18,AZ,0
2024-12-19,AZ,0
2024-12-20,AZ,0
2024-12-21,AZ,0
2024-12-22,AZ,0
2024-12-23,AZ,0
2024-12-24,AZ,0
2024-12-25,AZ,0
2024-12-26,AZ,0
2024-12-27,AZ,0
2024-12-28,AZ,0
2024-12-29,AZ,0
2024-12-30,AZ,0
2024-12-31,AZ,0
2025-01-01,AZ,0
2025-01-02,AZ,0
2025-01-03,AZ,0
2025-01-04,AZ,0
2025-01-05,AZ,0
2025-01-06,AZ,0
2025-01-07,AZ,0
2025-01-08,AZ,0
2024-12-08,CA,0
2024-12-09,CA,3
2024-12-10,CA,2
2024-12-11,CA,1
2024-12-12,CA,1
2024-12-13,CA,0
2024-12-14,CA,0
2024-12-15,CA,0
2024-12-16,CA,0
2024-12-17,CA,0
2024-12-18,CA,0
2024-12-19,CA,0
2024-12-20,CA,0
2024-12-21,CA,0
2024-12-22,CA,0
2024-12-23,CA,0
2024-12-24,CA,0
2024-12-25,CA,0
2024-12-26,CA,0
2024-12-27,CA,0
2024-12-28,CA,0
2024-12-29,CA,0
2024-12-30,CA,0
2024-12-31,CA,0
2025-01-01,CA,0
2025-01-02,CA,0
2025-01-03,CA,0
2025-01-04,CA,0
2025-01-05,CA,0
2025-01-06,CA,0
2025-01-07,CA,0
2025-01-08,CA,0
2024-12-08,CO,0
2024-12-09,CO,0
2024-12-10,CO,0
2024-12-11,CO,0
